sample	cg12981137_methylation	MGMT_expression
TCGA-06-5418-01	0.0322	7.567
TCGA-19-1389-02	0.0154	7.575
TCGA-19-4065-02	0.0138	8.189
TCGA-32-1980-01	0.0183	8.074
TCGA-14-0736-02	0.0127	9.064
TCGA-26-5133-01	0.0147	7.953
TCGA-28-5204-01	0.0186	7.906
TCGA-19-0957-02	0.0142	7.765
TCGA-28-5207-01	0.0153	8.047
TCGA-76-4927-01	0.0179	7.751
TCGA-28-2510-01	0.025	8.013
TCGA-28-5220-01	0.0163	8.296
TCGA-06-0171-02	0.021	7.849
TCGA-06-AABW-11	0.0161	8.18
TCGA-06-5415-01	0.0135	7.945
TCGA-28-5218-01	0.0154	8.307
TCGA-76-4926-01	0.0137	7.468
TCGA-12-5299-01	0.0188	7.098
TCGA-06-5414-01	0.0149	7.259
TCGA-19-5960-01	0.0496	6.974
TCGA-28-5213-01	0.012	9.049
TCGA-06-5408-01	0.0142	7.693
TCGA-76-4931-01	0.0146	7.882
TCGA-06-0190-01	0.0147	7.989
TCGA-26-5134-01	0.0174	7.401
TCGA-14-1034-02	0.7788	4.082
TCGA-26-5139-01	0.0184	7.384
TCGA-06-5411-01	0.0964	7.54
TCGA-06-0210-01	0.013	7.789
TCGA-06-5413-01	0.0131	8.482
TCGA-06-5859-01	0.0132	7.479
TCGA-14-0781-01	0.0379	7.447
TCGA-06-0152-02	0.185	6.848
TCGA-06-5856-01	0.0331	7.646
TCGA-06-0190-02	0.0143	8.225
TCGA-06-5410-01	0.3747	7.544
TCGA-28-5216-01	0.0179	7.105
TCGA-76-4928-01	0.1411	5.5
TCGA-06-0210-02	0.015	7.933
TCGA-06-5412-01	0.3956	7.293
TCGA-19-4065-01	0.0145	7.872
TCGA-06-5858-01	0.0148	6.327
TCGA-06-0211-01	0.2381	6.25
TCGA-26-5136-01	0.5132	6.041
TCGA-06-0211-02	0.0394	7.196
TCGA-28-5215-01	0.5262	6.842
TCGA-26-5132-01	0.5915	6.397
TCGA-06-5416-01	0.0228	8.227
TCGA-41-5651-01	0.676	5.488
TCGA-26-1442-01	0.2374	6.306
TCGA-06-0125-02	0.4813	5.742
TCGA-76-4925-01	0.7629	5.368
TCGA-15-1444-01	0.4312	6.278
TCGA-14-1402-02	0.5613	6.628
TCGA-06-0125-01	0.4544	4.998
TCGA-76-4929-01	0.6613	6.015
TCGA-12-5295-01	0.5677	6.946
TCGA-32-5222-01	0.5677	7.241
TCGA-06-1804-01	0.5221	4.769
TCGA-26-5135-01	0.5789	7.533
TCGA-06-0221-02	0.0487	6.163
TCGA-28-5208-01	0.6489	6.516
TCGA-06-5417-01	0.7473	4.793
TCGA-76-4932-01	0.3061	5.888
TCGA-28-5209-01	0.7514	5.604
